public_sku,manufacturer_mpn,manufacturer,title,pricing_status,confidence,reason,proposed_retail_price,pricing_approved,approved_public_price,evidence_urls
"C4-CJM","C4-CJM","Antennas Direct","Clearstream 4 Outdoor Antenna","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.bestbuy.com/product/antennas-direct-clearstream-4-uhf-indoor-outdoor-tv-antenna-multi-directional-70-mile-range-4k-8k-uhd-nextgen-tv-20-mast-black/J3R4FK5JWZ/sku/10750077/reviews | https://www.solidsignal.com/antennas-direct-clearstream-4-hdtv-antenna-with-j-mount-c4-cjm | https://www.bestbuy.com/site/antennas-direct-clearstream-digital-tv-antenna/9151687.p?skuId=9151687 | https://www.antennasdirect.com/cmss_files/attachmentlibrary/2024-PDF-QS/C4-CJM_QS_2024-01.pdf"
"SUPER7","SUPER7","Tripp Lite by Eaton","7 Outlet Surge Protector","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.onlinecomponents.com/en/productdetail/tripp-lite-by-eaton/super7-57281169.html | https://fleetnetwork.ca/tripp-lite-by-eaton-super725b-tripp-lite-protect-it-7-outlet-surge-protector-25-ft-cord-2160-joules-1-80-kva-black-housing/"
"SUPER725B","SUPER725B","Tripp Lite by Eaton","25FT 7OUT 2160J Surge","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://fleetnetwork.ca/tripp-lite-by-eaton-super725b-tripp-lite-protect-it-7-outlet-surge-protector-25-ft-cord-2160-joules-1-80-kva-black-housing/"
"SUPER7B","SUPER7B","Tripp Lite by Eaton","7-OTLT Surge Protector 2160 Joules","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://surgeprotectoro.com/super7b"
"SWIVEL6USB","SWIVEL6USB","Tripp Lite by Eaton","6OUT Direct Plug Surge","approved_candidate","medium","Two or more distinct priced public sellers; price spread, supplier cost, and MAP gates passed.","38.76","true","38.76","https://www.petra.com/tripp-lite-by-eaton-protect-it-1-200-joules-direct-plug-in-surge-protector-6-outlets-3-rotatable-and-2-usb-ports-swivel6usb.html | https://www.bestbuy.com/product/tripp-lite-by-eaton-3-ac-swiveling-outlet-3-ac-fixed-outlet-and-2-usb-port-surge-protector-wall-tap-black/J78C5ZS99K"
"TLM609SA","TLM609SA","Tripp Lite by Eaton","9FT 6O Protect It Surge","approved_candidate","medium","Two or more distinct priced public sellers; price spread, supplier cost, and MAP gates passed.","76.3","true","76.3","https://www.homedepot.com/p/339788349 | https://www.target.com/p/-/A-1006640506"
"TLM615SA","TLM615SA","Tripp Lite by Eaton","15FT 6O Protect It Surge","manual_review","none","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","",""
"TLP1006B","TLP1006B","Tripp Lite by Eaton","6FT 10OUT 2880J Surge Black","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.target.com/p/-/A-87836225"
"TLP1208SAT","TLP1208SAT","Tripp Lite by Eaton","12OUT Protect It Surge","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.benmanind.com/catalog/p/TRPTLP1208SAT/Tripp-Lite-by-Eaton-Protect-It-Surge-Protector-12-AC-Outlets-8-ft-Cord-2-880-J-Black-/ | https://assets.tripplite.com/submittal-drawing/submittal-drawing-tlp1208sat.pdf"
"TLP1208TEL","TLP1208TEL","Tripp Lite by Eaton","8FT 12OUT 2160J Surge","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.eaton.com/us/en-us/skuPage.TLP1208TEL.html | https://www.target.com/p/-/A-87836209 | https://www.directdial.com/us/item/tripp-lite-by-eaton-protect-it-12-outlet-surge-protector-8-ft-2-43-m-cord-2160-joules-tel-modem-protection/tlp1208tel"
"TLP128TTUSBB","TLP128TTUSBB","Tripp Lite by Eaton","12OUT 8FT Plastic Surge","manual_review","none","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","",""
"TLP310USBC","TLP310USBC","Tripp Lite by Eaton","10FT 510J 3OUT Surge Black","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.petra.com/tripp-lite-by-eaton-protect-it-510-joules-surge-protector-with-3-outlets-2-usb-ports-and-desk-clamp-10-ft-cord-tlp310usbc.html | https://www.compsource.com/buy/TLP310USBC/Eaton-1191"
"TLP4BK","TLP4BK","Tripp Lite by Eaton","4OUT 720J Surge Black","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.petra.com/tripp-lite-by-eaton-tlp4bk-4-ac-outlet-surge-protector-wall-tap-331409.html"
"TLP604","TLP604","Tripp Lite by Eaton","6 Out Surge Protector 4FT Cord","manual_review","none","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","",""
"TLP606DMUSB","TLP606DMUSB","Tripp Lite by Eaton","6-OTLT Surge W/clamps","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.target.com/p/-/A-87836242 | https://assets.tripplite.com/submittal-drawing/submittal-drawing-tlp606dmusb.pdf"
"TLP610U30CLAMPB","TLP610U30CLAMPB","Tripp Lite by Eaton","Protect It Desk Clamp Surge Protector with 6 AC Outlets and 2 USB Ports, 10 ft","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.e-sonic.com/en/productdetail/tripp-lite-by-eaton/tlp610u30clampb-63649913.html | https://www.homedepot.com/p/339788355 | https://www.bestbuy.com/product/eaton-tripp-lite-series-protect-it-6-outlet-surge-protector-with-2-usb-c-ports-5-15r-outlets-900-joules-30w-pd-black/J78C5ZHR5R"
"TLP648USBC","TLP648USBC","Tripp Lite by Eaton","6OUT 8FT Desk Clamp Surge","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.petra.com/tripp-lite-tlp648usbc-protect-it-6-outlet-surge-protector-desk-clamp-with-2-usb-ports-and-1-usb-c-port-8-ft-cord.html | https://logicstechnology.com/products/tripp-lite-tlp648usbc-6-outlet-surge-suppressor-with-usb-charging"
"TLP6B","TLP6B","Tripp Lite by Eaton","6 Out Surge Protector 6FT Cord","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.bestbuy.com/product/tripp-lite-6-outlet-360-joule-surge-protector-power-strip-6-ft-cord-tlp6b-black/J78C5ZLH4Y/sku/10880304"
"TLP74RB","TLP74RB","Tripp Lite by Eaton","7OUTLT Surge Protectr","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.eaton.com/us/en-us/skuPage.TLP74RB.html | https://www.petra.com/tripp-lite-tlp74rb-protect-it-7-outlet-surge-protector-with-4-foot-cord.html?57b4660408053d84bd14408f6951a3aa=1"
"TLP76MSG","TLP76MSG","Tripp Lite by Eaton","7 Out Surge Protector 6FT Cord","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://surgeprotectorsgi.com/037332166074"
"TLP76MSGB","TLP76MSGB","Tripp Lite by Eaton","6FT 7OUT 1080J Surge Black","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.officecrave.com/tripp-lite-tlp76msgb.html"
"TLP808B","TLP808B","Tripp Lite by Eaton","8FT 8OUT 1440J Surge Black","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.eaton.com/us/en-us/skuPage.TLP808B.html"
"TLP810NET","TLP810NET","Tripp Lite by Eaton","8 Outlet + Phone Lan","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.directdial.com/us/item/tripp-lite-eaton-series-protect-it-8-outlet-surge-protector-10-ft-cord-3240-joules-modem-coax-ethernet-protection-rj45/tlp810net | https://www.tech-america.com/item/tripp-lite-eaton-series-protect-it-8-outlet-surge-protector-10-ft-cord-3240-joules-modem-coax-ethernet-protection-rj45/tlp810net | https://fleetnetwork.ca/tripp-lite-by-eaton-tlp810net-tripp-lite-8-outlet-tv-modem-surge-protector-1-80-kva-3240-j-120v-ac-10-ft-cord-black/"
"TLP864USBB","TLP864USBB","Tripp Lite by Eaton","8OUT 6FT Plastic Surge","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.target.com/p/-/A-87836199 | https://logicstechnology.com/products/tripp-lite-tlp864usbb-8-outlet-surge-protector-with-4-usb-ports-and-6ft-cord-black"
"TLP88TUSBB","TLP88TUSBB","Tripp Lite by Eaton","8OUT 8FT Plastic Surge","manual_review","none","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","",""
"U236-000-R","U236-000-R","Tripp Lite by Eaton","USB 2 Ethernet Adapter","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.bestbuy.com/product/tripp-lite-usb-2-0-to-rj45-ethernet-nic-network-adapter-u236-000-r/J78C5ZLS7C/sku/12529872 | https://www.tecisoft.ca/products/tripp-lite-u236-000-r-usb-2-0-ethernet-nic-adapter-10-100-mbps-rj45-black"
"U436-06N-GBW","U436-06N-GBW","Tripp Lite by Eaton","USB3.1 GEN1C Ethernet Adapter","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.petra.com/tripp-lite-u436-06n-gbw-usb-c-3-1-to-gigabit-ethernet-nic-network-adapter.html"
"DS6101","DS6101","Vtech","Add Handset: VTEDS6151","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.homedepot.com/p/204087591 | https://www.vtechphones.com/support/technical-support/product/306%3Fsrsltid%3DAfmBOorqxne6LC0WuWQ6XOVYVctPy49r_fRPR8ZKfE7zw8_Pt5tL2t8E | https://www.energystar.gov/productfinder/product/certified-telephones/details/2230087/export/pdf"
"DS6151","DS6151","Vtech","DECT 6.0 2-Line Cordless Phone","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.homedepot.com/p/204087568 | https://www.bestbuy.com/product/vtech-ds6151-dect-6-0-expandable-2-line-cordless-phone-with-digital-answering-system-and-dial-in-base-1-handset-black/JXZP4VWJ6Y/sku/12135482/reviews | https://www.joinhoney.com/p/4247239d-ba39-4c5f-a6af-3e920e2d0ff7 | https://www.bestbuy.com/product/vtech-ds6151-dect-6-0-expandable-2-line-cordless-phone-with-digital-answering-system-and-dial-in-base-1-handset-black/JXZP4VWJ6Y?cmp=RMX&refdomain=wisedealing.com"
"FL-1000","FL-1000","Winegard","FL-1000 Indoor HD Antenna","manual_review","none","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","",""
"HD8200U","HD8200U","Winegard","Hdtv Antenna Deep Fringe","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://winegard.com/hd8200u-platinum-hd-series-antenna/ | https://www.homedepot.com/p/204701107 | https://www.staples.com/Winegard-HD8200U-Heavy-Duty-Platinum-VHF-UHF-FM-HDTV-Antenna/product_213065"
"TB-0005","TB-0005","Winegard","5FT Swedged Masting","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.tractorsupply.com/tsc/product/winegard-5-ft-swedged-mast-tb-0005"
"WM-2040","WM-2040","Winegard","4IN Galvanized Wall Mount","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://help.winegard.com/portal/en/kb/articles/winegard-4-inch-galvanized-antenna-wall-mount-wm-2040 | https://www.compsource.com/buy/WM2040/Winegard-3515/Winegard-Wm2040-4In-Galvanized-Antenna-Wall-Mount-Wm2040-WM2040/"
"314475","314475","Wilson Electronics","75OHM Wdebnd Directional Antna","manual_review","low","Insufficient or conflicting exact-MPN public price evidence; manual review required.","","false","","https://www.wilsonamplifiers.com/wilson-electronics-wide-band-yagi-directional-antenna-75-ohm-314475/"
