public_sku,manufacturer_mpn,manufacturer,category,title,lowest_reliable_price,typical_public_price,highest_reasonable_price,proposed_retail_price,pricing_evidence_urls,evidence_date,confidence,pricing_status,notes
"N201-025-BL","N201-025-BL","Tripp Lite by Eaton","Network Cabling & Connectors","CAT 6 Gigabit Snagless Solid UTP Ethernet Cable, 25 ft, Blue","21.52","21.52","21.52","","https://www.petra.com/tripp-lite-by-eaton-n201-025-bl-cat-6-gigabit-snagless-molded-solid-utp-ethernet-cable-25-ft-blue.html?07e7b432dd240b7ca5cf8e3bf4622af6=1 | https://www.ibselectronics.com/part/tripp-lite/n201-025-bl/2353045/","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"N201-050-BL","N201-050-BL","Tripp Lite by Eaton","Network Cabling & Connectors","CAT 6 Gigabit Snagless Solid UTP Ethernet Cable, 50 ft, Blue","26.99","28.4","29.81","","https://www.bestbuy.com/product/tripp-lite-by-eaton-n201-050-bl-cat-6-gigabit-snagless-molded-solid-utp-ethernet-cable-50-ft--blue/J78C5ZYJ4H | https://www.bestbuy.com/product/tripp-lite-cat-6-gigabit-snagless-molded-solid-utp-ethernet-cable-50-ft-blue/J78C5ZYJ4H/sku/10742855 | https://www.bestbuy.com/product/tripp-lite-by-eaton-n201-050-bl-cat-6-gigabit-snagless-molded-solid-utp-ethernet-cable-50-ft--blue/J78C5ZYJ4H/sku/10752915 | https://www.bestbuy.com/product/tripp-lite-by-eaton-n201-050-bl-cat-6-gigabit-snagless-molded-solid-utp-ethernet-cable-50-ft--blue/J78C5ZYJ4H/sku/11530969","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"N201-100-BL","N201-100-BL","Tripp Lite by Eaton","Network Cabling & Connectors","CAT 6 Gigabit Snagless Solid UTP Ethernet Cable, 100 ft, Blue","","","","","","2026-08-03","none","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"N201-015-BL","N201-015-BL","Tripp Lite by Eaton","Network Cabling & Connectors","15FT Cat6 Snagless RJ45 Cable","","","","","https://www.ibselectronics.com/part/tripp-lite/n201-015-bl/2506299/ | https://www.directdial.com/us/item/tripp-lite-by-eaton-cat6-gigabit-snagless-molded-utp-ethernet-cable-rj45-m-m-poe-blue-15-ft-4-57-m/n201-015-bl | https://www.pc-canada.com/item/tripp-lite-by-eaton-cat6-gigabit-snagless-molded-utp-ethernet-cable-rj45-m-m-poe-blue-15-ft-4-57-m/n201-015-bl","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"P131-06N","P131-06N","Tripp Lite by Eaton","Terminals, Jacks & Wall Plates","Hdmi/vga With Audio Converter","","","","","https://www.jrhelectronics.com/en-us/products/tripp-lite-by-eaton/p131-06n/ | https://www.tech-america.com/item/tripp-lite-by-eaton-hdmi-to-vga-with-audio-converter-cable-adapter-for-ultrabook-laptop-desktop-pc-m-f-6-in-15-24-cm/p131-06n | https://www.directdial.com/us/item/tripp-lite-by-eaton-hdmi-to-vga-with-audio-converter-cable-adapter-for-ultrabook-laptop-desktop-pc-m-f-6-in-15-24-cm/p131-06n","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"P502-006","P502-006","Tripp Lite by Eaton","Network Cabling & Connectors","Svga Monitor Cable 6F-","","","","","https://www.onlinecomponents.com/en/productdetail/tripp-lite-by-eaton/p502006-12697943.html","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"P569-006-MF","P569-006-MF","Tripp Lite by Eaton","Network Cabling & Connectors","4K HDMI Extension Cable With Ethernet","24.02","24.02","24.02","","https://www.bestbuy.com/product/tripp-lite-4k-30hz-hdmi-male-female-high-speed-extension-cable-with-ethernet-6-ft-model-p569-006-mf-black/J78C5ZP894/sku/10742866","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"P570-006-MICRO","P570-006-MICRO","Tripp Lite by Eaton","Network Cabling & Connectors","HDMI To Microhdmi Cable 6FT","","","","","https://www.petra.com/tripp-lite-by-eaton-p570-006-micro-1080p-hdmi-male-to-micro-hdmi-male-high-speed-with-ethernet-a-v-cable-black-6-ft.html","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"SMART1200XLHG","SMART1200XLHG","Tripp Lite by Eaton","Network Equipment","4O 120V 1KVA 750W Med Ups","","","","","","2026-08-03","none","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"SMART1500LCD","SMART1500LCD","Tripp Lite by Eaton","Network Equipment","1500VA Lcd Ups","","","","","https://www.tech-america.com/item/tripp-lite-by-eaton-ups-smart-lcd-1500va-900w-120v-line-interactive-ups/smart1500lcd | https://www.directdial.com/us/item/tripp-lite-by-eaton-ups-smart-lcd-1500va-900w-120v-line-interactive-ups/smart1500lcd | https://www.globaloffice.com.mx/app/producto/pdf/smart1500lcd | https://www.abasteo.mx/Energia/Proteccion-Contra-Descargas/No-Break-UPS/No-Break-UPS/No-Break-Tripp-Lite-by-Eaton-SMART1500LCD-Linea-Interactiva-900W-1-500VA-Entrada-75V-147V-Salida-115V-120V-8-Salidas.html","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"SPIKECUBE","SPIKECUBE","Tripp Lite by Eaton","Network Equipment","1OUT 600J Spikecube Surge","","","","","","2026-08-03","none","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"SUPER7","SUPER7","Tripp Lite by Eaton","Network Equipment","7 Outlet Surge Protector","","","","","https://www.onlinecomponents.com/en/productdetail/tripp-lite-by-eaton/super7-57281169.html | https://fleetnetwork.ca/tripp-lite-by-eaton-super725b-tripp-lite-protect-it-7-outlet-surge-protector-25-ft-cord-2160-joules-1-80-kva-black-housing/","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"SUPER725B","SUPER725B","Tripp Lite by Eaton","Network Equipment","25FT 7OUT 2160J Surge","","","","","https://fleetnetwork.ca/tripp-lite-by-eaton-super725b-tripp-lite-protect-it-7-outlet-surge-protector-25-ft-cord-2160-joules-1-80-kva-black-housing/","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"SUPER7B","SUPER7B","Tripp Lite by Eaton","Network Equipment","7-OTLT Surge Protector 2160 Joules","","","","","https://surgeprotectoro.com/super7b","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"SWIVEL6USB","SWIVEL6USB","Tripp Lite by Eaton","Network Equipment","6OUT Direct Plug Surge","36.5","38.76","41.02","38.76","https://www.petra.com/tripp-lite-by-eaton-protect-it-1-200-joules-direct-plug-in-surge-protector-6-outlets-3-rotatable-and-2-usb-ports-swivel6usb.html | https://www.bestbuy.com/product/tripp-lite-by-eaton-3-ac-swiveling-outlet-3-ac-fixed-outlet-and-2-usb-port-surge-protector-wall-tap-black/J78C5ZS99K","2026-08-03","medium","approved_candidate","Two or more distinct priced public sellers; price spread, supplier cost, and MAP gates passed."
"TLM609SA","TLM609SA","Tripp Lite by Eaton","Network Equipment","9FT 6O Protect It Surge","60.62","76.3","91.99","76.3","https://www.homedepot.com/p/339788349 | https://www.target.com/p/-/A-1006640506","2026-08-03","medium","approved_candidate","Two or more distinct priced public sellers; price spread, supplier cost, and MAP gates passed."
"TLM615SA","TLM615SA","Tripp Lite by Eaton","Network Equipment","15FT 6O Protect It Surge","","","","","","2026-08-03","none","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"TLP1006B","TLP1006B","Tripp Lite by Eaton","Network Equipment","6FT 10OUT 2880J Surge Black","64.99","64.99","64.99","","https://www.target.com/p/-/A-87836225","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"TLP1208SAT","TLP1208SAT","Tripp Lite by Eaton","Network Cabling & Connectors","12OUT Protect It Surge","","","","","https://www.benmanind.com/catalog/p/TRPTLP1208SAT/Tripp-Lite-by-Eaton-Protect-It-Surge-Protector-12-AC-Outlets-8-ft-Cord-2-880-J-Black-/ | https://assets.tripplite.com/submittal-drawing/submittal-drawing-tlp1208sat.pdf","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"TLP1208TEL","TLP1208TEL","Tripp Lite by Eaton","Network Equipment","8FT 12OUT 2160J Surge","","","","","https://www.eaton.com/us/en-us/skuPage.TLP1208TEL.html | https://www.target.com/p/-/A-87836209 | https://www.directdial.com/us/item/tripp-lite-by-eaton-protect-it-12-outlet-surge-protector-8-ft-2-43-m-cord-2160-joules-tel-modem-protection/tlp1208tel","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"TLP128TTUSBB","TLP128TTUSBB","Tripp Lite by Eaton","Network Cabling & Connectors","12OUT 8FT Plastic Surge","","","","","","2026-08-03","none","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"TLP310USBC","TLP310USBC","Tripp Lite by Eaton","Network Equipment","10FT 510J 3OUT Surge Black","97.34","97.34","97.34","","https://www.petra.com/tripp-lite-by-eaton-protect-it-510-joules-surge-protector-with-3-outlets-2-usb-ports-and-desk-clamp-10-ft-cord-tlp310usbc.html | https://www.compsource.com/buy/TLP310USBC/Eaton-1191","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"TLP4BK","TLP4BK","Tripp Lite by Eaton","Network Equipment","4OUT 720J Surge Black","21.64","21.64","21.64","","https://www.petra.com/tripp-lite-by-eaton-tlp4bk-4-ac-outlet-surge-protector-wall-tap-331409.html","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"TLP604","TLP604","Tripp Lite by Eaton","Network Equipment","6 Out Surge Protector 4FT Cord","","","","","","2026-08-03","none","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"TLP606DMUSB","TLP606DMUSB","Tripp Lite by Eaton","Network Equipment","6-OTLT Surge W/clamps","68.99","68.99","68.99","","https://www.target.com/p/-/A-87836242 | https://assets.tripplite.com/submittal-drawing/submittal-drawing-tlp606dmusb.pdf","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"TLP610U30CLAMPB","TLP610U30CLAMPB","Tripp Lite by Eaton","Network Equipment","Protect It Desk Clamp Surge Protector with 6 AC Outlets and 2 USB Ports, 10 ft","53.29","53.29","53.29","","https://www.e-sonic.com/en/productdetail/tripp-lite-by-eaton/tlp610u30clampb-63649913.html | https://www.homedepot.com/p/339788355 | https://www.bestbuy.com/product/eaton-tripp-lite-series-protect-it-6-outlet-surge-protector-with-2-usb-c-ports-5-15r-outlets-900-joules-30w-pd-black/J78C5ZHR5R","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"TLP648USBC","TLP648USBC","Tripp Lite by Eaton","Network Equipment","6OUT 8FT Desk Clamp Surge","","","","","https://www.petra.com/tripp-lite-tlp648usbc-protect-it-6-outlet-surge-protector-desk-clamp-with-2-usb-ports-and-1-usb-c-port-8-ft-cord.html | https://logicstechnology.com/products/tripp-lite-tlp648usbc-6-outlet-surge-suppressor-with-usb-charging","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"TLP6B","TLP6B","Tripp Lite by Eaton","Network Equipment","6 Out Surge Protector 6FT Cord","43.83","43.83","43.83","","https://www.bestbuy.com/product/tripp-lite-6-outlet-360-joule-surge-protector-power-strip-6-ft-cord-tlp6b-black/J78C5ZLH4Y/sku/10880304","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"TLP74RB","TLP74RB","Tripp Lite by Eaton","Network Equipment","7OUTLT Surge Protectr","27.88","12513.94","25000","","https://www.eaton.com/us/en-us/skuPage.TLP74RB.html | https://www.petra.com/tripp-lite-tlp74rb-protect-it-7-outlet-surge-protector-with-4-foot-cord.html?57b4660408053d84bd14408f6951a3aa=1","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"TLP76MSG","TLP76MSG","Tripp Lite by Eaton","Network Equipment","7 Out Surge Protector 6FT Cord","","","","","https://surgeprotectorsgi.com/037332166074","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"TLP76MSGB","TLP76MSGB","Tripp Lite by Eaton","Network Equipment","6FT 7OUT 1080J Surge Black","","","","","https://www.officecrave.com/tripp-lite-tlp76msgb.html","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"TLP808B","TLP808B","Tripp Lite by Eaton","Network Equipment","8FT 8OUT 1440J Surge Black","","","","","https://www.eaton.com/us/en-us/skuPage.TLP808B.html","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"TLP810NET","TLP810NET","Tripp Lite by Eaton","Network Cabling & Connectors","8 Outlet + Phone Lan","","","","","https://www.directdial.com/us/item/tripp-lite-eaton-series-protect-it-8-outlet-surge-protector-10-ft-cord-3240-joules-modem-coax-ethernet-protection-rj45/tlp810net | https://www.tech-america.com/item/tripp-lite-eaton-series-protect-it-8-outlet-surge-protector-10-ft-cord-3240-joules-modem-coax-ethernet-protection-rj45/tlp810net | https://fleetnetwork.ca/tripp-lite-by-eaton-tlp810net-tripp-lite-8-outlet-tv-modem-surge-protector-1-80-kva-3240-j-120v-ac-10-ft-cord-black/","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"TLP864USBB","TLP864USBB","Tripp Lite by Eaton","Network Equipment","8OUT 6FT Plastic Surge","61.99","61.99","61.99","","https://www.target.com/p/-/A-87836199 | https://logicstechnology.com/products/tripp-lite-tlp864usbb-8-outlet-surge-protector-with-4-usb-ports-and-6ft-cord-black","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"TLP88TUSBB","TLP88TUSBB","Tripp Lite by Eaton","Network Equipment","8OUT 8FT Plastic Surge","","","","","","2026-08-03","none","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"U236-000-R","U236-000-R","Tripp Lite by Eaton","Network Cabling & Connectors","USB 2 Ethernet Adapter","36.87","36.87","36.87","","https://www.bestbuy.com/product/tripp-lite-usb-2-0-to-rj45-ethernet-nic-network-adapter-u236-000-r/J78C5ZLS7C/sku/12529872 | https://www.tecisoft.ca/products/tripp-lite-u236-000-r-usb-2-0-ethernet-nic-adapter-10-100-mbps-rj45-black","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"U436-06N-GBW","U436-06N-GBW","Tripp Lite by Eaton","Network Cabling & Connectors","USB3.1 GEN1C Ethernet Adapter","","","","","https://www.petra.com/tripp-lite-u436-06n-gbw-usb-c-3-1-to-gigabit-ethernet-nic-network-adapter.html","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"DS6101","DS6101","Vtech","Telephone Equipment","Add Handset: VTEDS6151","","","","","https://www.homedepot.com/p/204087591 | https://www.vtechphones.com/support/technical-support/product/306%3Fsrsltid%3DAfmBOorqxne6LC0WuWQ6XOVYVctPy49r_fRPR8ZKfE7zw8_Pt5tL2t8E | https://www.energystar.gov/productfinder/product/certified-telephones/details/2230087/export/pdf","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"DS6151","DS6151","Vtech","Telephone Equipment","DECT 6.0 2-Line Cordless Phone","","","","","https://www.homedepot.com/p/204087568 | https://www.bestbuy.com/product/vtech-ds6151-dect-6-0-expandable-2-line-cordless-phone-with-digital-answering-system-and-dial-in-base-1-handset-black/JXZP4VWJ6Y/sku/12135482/reviews | https://www.joinhoney.com/p/4247239d-ba39-4c5f-a6af-3e920e2d0ff7 | https://www.bestbuy.com/product/vtech-ds6151-dect-6-0-expandable-2-line-cordless-phone-with-digital-answering-system-and-dial-in-base-1-handset-black/JXZP4VWJ6Y?cmp=RMX&refdomain=wisedealing.com","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"FL-1000","FL-1000","Winegard","Antennas & RF","FL-1000 Indoor HD Antenna","","","","","","2026-08-03","none","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"HD8200U","HD8200U","Winegard","Antennas & RF","Hdtv Antenna Deep Fringe","","","","","https://winegard.com/hd8200u-platinum-hd-series-antenna/ | https://www.homedepot.com/p/204701107 | https://www.staples.com/Winegard-HD8200U-Heavy-Duty-Platinum-VHF-UHF-FM-HDTV-Antenna/product_213065","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"TB-0005","TB-0005","Winegard","Antennas & RF","5FT Swedged Masting","","","","","https://www.tractorsupply.com/tsc/product/winegard-5-ft-swedged-mast-tb-0005","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"WM-2040","WM-2040","Winegard","Antennas & RF","4IN Galvanized Wall Mount","","","","","https://help.winegard.com/portal/en/kb/articles/winegard-4-inch-galvanized-antenna-wall-mount-wm-2040 | https://www.compsource.com/buy/WM2040/Winegard-3515/Winegard-Wm2040-4In-Galvanized-Antenna-Wall-Mount-Wm2040-WM2040/","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
"314475","314475","Wilson Electronics","Antennas & RF","75OHM Wdebnd Directional Antna","","","","","https://www.wilsonamplifiers.com/wilson-electronics-wide-band-yagi-directional-antenna-75-ohm-314475/","2026-08-03","low","manual_review","Insufficient or conflicting exact-MPN public price evidence; manual review required."
